type,neighborhood,address,price,beds,baths,sqft,url
Rental Unit,Prospect Park South,60 Turner Place #2L,"$2,000",Studio,1 Bath,NA,https://streeteasy.com/building/60-turner-place-brooklyn/2l
Rental Unit,Kew Gardens Hills,75-25 153rd Street #413,"$1,999",Studio,1 Bath,NA,https://streeteasy.com/building/the-opal/413
Co-op,Kew Gardens,83-15 116th Street #4B,"$2,195",1 Bed,1 Bath,NA,https://streeteasy.com/building/83_15-116-street-richmond_hill/rental/4384074
Co-op,Kew Gardens,83-83 118th Street #1L,"$2,175",1 Bed,1 Bath,800,https://streeteasy.com/building/83_83-118-street-kew_gardens/1l
Co-op,Flushing,143-36 Barclay Avenue #3D,"$2,000",1 Bed,1 Bath,775,https://streeteasy.com/building/143_36-barclay-avenue-flushing/3d
Co-op,Forest Hills,104-20 68 Drive #B47,"$2,400",1 Bed,1 Bath,775,https://streeteasy.com/building/104_20-68-drive-forest_hills/b47
Co-op,Kew Gardens,83-83 118th Street #1E,"$1,850",Studio,1 Bath,700,https://streeteasy.com/building/83_83-118-street-kew_gardens/1e
Rental Unit,Bensonhurst,1365 West 7th Street #F1,"$1,749",1 Bed,1 Bath,775,https://streeteasy.com/building/1365-west-7-street-brooklyn/f1
Rental Unit,Murray Hill (Queens),144-77 41st Avenue #322,"$1,675",Studio,1 Bath,542,https://streeteasy.com/building/144_67-41-avenue-flushing/322
Rental Unit,Gramercy Park,76 Irving Place #4D,"$2,300",Studio,1 Bath,NA,https://streeteasy.com/building/76-irving-place-new_york/4d
Rental Unit,Greenpoint,204 Greenpoint Avenue #3R,"$2,300",Studio,1 Bath,NA,https://streeteasy.com/building/204-greenpoint-avenue-brooklyn/3r
Rental Unit,Woodside,46-09 69th Street #211,"$2,850",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/211?featured=1
Co-op,Hamilton Heights,345 West 145th Street #7B4,"$2,400",Studio,1 Bath,NA,https://streeteasy.com/building/345-west-145-street-new_york/7b4?featured=1
Co-op,Yorkville,418 East 83rd Street #1D,"$2,300",Studio,1 Bath,NA,https://streeteasy.com/building/418-east-83-street-new_york/1d
Rental Unit,Kew Gardens,83-43 118th Street #4B,"$1,950",1 Bed,1 Bath,NA,https://streeteasy.com/building/83_43-118-street-kew_gardens/4b
Rental Unit,Lincoln Square,244 West 64th Street #2G,"$2,600",Studio,1 Bath,NA,https://streeteasy.com/building/244-west-64-street-new_york/2g
Co-op,Forest Hills,67-41 Burns Street #223,"$2,000",Studio,1 Bath,NA,https://streeteasy.com/building/67_41-burns-street-forest_hills/223
Rental Unit,Upper West Side,216 West 100th Street #926,"$1,950",Studio,1 Bath,NA,https://streeteasy.com/building/2632-broadway-new_york/926
Co-op,Kensington,415 Beverley Road #2F,"$2,300",1 Bed,1 Bath,NA,https://streeteasy.com/building/415-beverley-road-brooklyn/2f
Rental Unit,Astoria,30-26 35th Street #1B,"$2,300",1 Bed,1 Bath,NA,https://streeteasy.com/building/30_26-35-street-astoria/1b
Rental Unit,Greenwood,150 21st Street #2B,"$2,290",1 Bed,1 Bath,NA,https://streeteasy.com/building/150-21-street-brooklyn/2b
Co-op,Downtown Brooklyn,215 Adams Street #6D,"$2,400",Studio,1 Bath,460,https://streeteasy.com/building/215-adams-street-brooklyn/6d
Rental Unit,Sunnyside,47-21 41st Street #3E,"$2,400",1 Bed,1 Bath,750,https://streeteasy.com/building/47_21-41-street-sunnyside/3e
Co-op,Kew Gardens,83-83 118th Street #5W,"$1,795",Studio,1 Bath,NA,https://streeteasy.com/building/83_83-118-street-kew_gardens/5w
Rental Unit,Kew Gardens,132-77 Metropolitan Avenue #4F,"$2,288",Studio,1 Bath,NA,https://streeteasy.com/building/the-metropolitan-132_77-metropolitan-avenue-kew_gardens/4f?featured=1
Rental Unit,Manhattanville,3333E Broadway #E4F,"$2,725",1 Bed,1 Bath,NA,https://streeteasy.com/building/3333e-broadway-manhattanville/e4f?featured=1
Rental Unit,Hamilton Heights,735 Saint Nicholas Avenue #4F,"$2,100",Studio,1 Bath,NA,https://streeteasy.com/building/735-st-nicholas-avenue-new_york/rental/4382246
Rental Unit,Kew Gardens,83-67 116th Street #501,"$1,795",Studio,1 Bath,NA,https://streeteasy.com/building/83_67-116-street-_kew_gardens/501
Rental Unit,Kew Gardens,83-61 116th Street #SN,"$1,920",Studio,1 Bath,NA,https://streeteasy.com/building/83_61-116-street-kew_gardens/sn
Co-op,Sunnyside,48-21 40th Street #2E,"$2,200",1 Bed,1 Bath,NA,https://streeteasy.com/building/48_21-40-street-sunnyside/2e
Co-op,Rego Park,97-11 63 Drive #D3,"$1,695",Studio,1 Bath,NA,https://streeteasy.com/building/97_11-63-drive-rego_park/d3
Three-Family Home,Forest Hills,110-46 72nd Road #1,"$2,200",1 Bed,1 Bath,700,https://streeteasy.com/building/110_46-72-road-forest_hills/1
Co-op,Kew Gardens,83-75 118th Street #2V,"$2,150",1 Bed,1 Bath,NA,https://streeteasy.com/building/83_75-118-street-kew_gardens/2v
Rental Unit,Crown Heights,1598 Pacific Street #7,"$2,550",1 Bed,1 Bath,NA,https://streeteasy.com/building/1598-pacific-street-brooklyn/7
Rental Unit,Woodside,40-20 69th Street #3I,"$1,800",Studio,1 Bath,NA,https://streeteasy.com/building/40_20-69-street-woodside/3i
Rental Unit,Stuyvesant Heights,591 Madison Street #3R,"$2,300",1 Bed,1 Bath,NA,https://streeteasy.com/building/591-madison-street-brooklyn/3r
Co-op,Kew Gardens,83-75 118th Street #3Z,"$2,295",1 Bed,1 Bath,1,https://streeteasy.com/building/83_75-118-street-kew_gardens/3z
Rental Unit,Woodside,46-09 69th Street #211,"$2,850",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/211?featured=1
Rental Unit,Woodside,46-09 69th Street #209,"$2,700",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/209?featured=1
Co-op,Forest Hills,111-45 76 Drive #B4,"$2,400",1 Bed,1 Bath,NA,https://streeteasy.com/building/111_45-76-drive-forest_hills/b4
Rental Unit,Lenox Hill,503 East 73rd Street #4B,"$2,350",Studio,1 Bath,NA,https://streeteasy.com/building/503-east-73-street-new_york/4b
Rental Unit,Lower East Side,139 Eldridge Street #ZERO,"$2,400",1 Bed,1 Bath,NA,https://streeteasy.com/building/139-eldridge-street-new_york/zero
Rental Unit,Woodside,70-65 Queens Boulevard #3P,"$2,400",1 Bed,1 Bath,NA,https://streeteasy.com/building/70_65-queens-boulevard-woodside/3p
Rental Unit,Astoria,27-35 21st Street #8C,"$2,350",1 Bed,1 Bath,NA,https://streeteasy.com/building/27_35-21-street-astoria/8c
Rental Unit,Rego Park,63-95 Austin Street #SIXB,"$1,700",Studio,1 Bath,NA,https://streeteasy.com/building/63_95-austin-street-rego_park/sixb
Co-op,Forest Hills,108-25 72nd Avenue #5G,"$1,950",1 Bed,1 Bath,NA,https://streeteasy.com/building/108_25-72-avenue-forest_hills/5g
Rental Unit,Forest Hills,111-56 76 Drive #B3,"$2,395",1 Bed,1 Bath,750,https://streeteasy.com/building/111_56-76-drive-forest_hills/b3
Rental Unit,Sunnyside,43-17 48th Street #1M,"$1,900",Studio,1 Bath,500,https://streeteasy.com/building/43_17-48-street-sunnyside/1m
Co-op,Fort Hamilton,351 Marine Avenue #E15,"$2,050",1 Bed,1 Bath,NA,https://streeteasy.com/building/351-marine-avenue-brooklyn/e15
Co-op,Murray Hill,5 Tudor City Place #1308,"$2,200",Studio,1 Bath,260,https://streeteasy.com/building/5-tudor-city-place-new_york/1308
Rental Unit,Kew Gardens,132-77 Metropolitan Avenue #4F,"$2,288",Studio,1 Bath,NA,https://streeteasy.com/building/the-metropolitan-132_77-metropolitan-avenue-kew_gardens/4f?featured=1
Rental Unit,Manhattanville,3333C Broadway #C5B,"$2,575",Studio,1 Bath,NA,https://streeteasy.com/building/3333c-broadway-manhattanville/c5b?featured=1
Co-op,Forest Hills,67-25 Dartmouth Street #3K,"$2,100",1 Bed,1 Bath,850,https://streeteasy.com/building/67_25-dartmouth-street-forest_hills/3k
Rental Unit,Flushing,142-27 Barclay Avenue #204,"$1,895",Studio,1 Bath,650,https://streeteasy.com/building/142_27-barclay-avenue-flushing/204
Rental Unit,Astoria,26-36 Fourth Street PENTHOUSEB,"$2,500",1 Bed,1 Bath,NA,https://streeteasy.com/building/ivy-astoria/penthouseb
Rental Unit,Weeksville,1468 Park Place #3,"$1,725",1 Bed,1 Bath,NA,https://streeteasy.com/building/1468-park-place-brooklyn/3
Rental Unit,Fort George,564 Audubon Avenue #11D,"$1,982",1 Bed,1 Bath,650,https://streeteasy.com/building/560-audubon-avenue-new_york/11d
Rental Unit,Woodside,58-12 Queens Boulevard #7,"$2,100",1 Bed,1 Bath,700,https://streeteasy.com/building/58_12-queens-boulevard-woodside/7
Rental Unit,East Harlem,1625 Lexington Avenue #4W,"$1,900",1 Bed,1 Bath,NA,https://streeteasy.com/building/1625-lexington-avenue-new_york/4w
Rental Unit,East Harlem,304 Pleasant Avenue #4R,"$1,999",1 Bed,1 Bath,650,https://streeteasy.com/building/304-pleasant-avenue-new_york/4r
Rental Unit,Washington Heights,615 West 172nd Street #24,"$1,950",Studio,1 Bath,450,https://streeteasy.com/building/615-west-172-street-new_york/24
Rental Unit,Lower East Side,150 Orchard Street #ONED,"$2,395",Studio,1 Bath,NA,https://streeteasy.com/building/150-orchard-street-new_york/oned
Co-op,Bay Ridge,359 Ovington Avenue #D10,"$1,995",Studio,1 Bath,NA,https://streeteasy.com/building/359-ovington-avenue-brooklyn/d10
Rental Unit,Woodside,46-09 69th Street #211,"$2,850",Studio,1 Bath,NA,https://streeteasy.com/building/46_09-69-street-woodside/211?featured=1
